"","TotalG","Taxon","Scenario","Nutrients"
"1",0.02954,"japon","fluctuations","high"
"2",0.03146,"bohem","low","low"
"3",0.0319,"japon","fluctuations","high"
"4",0.03409,"japon","high","high"
"5",0.03597,"bohem","low","low"
"6",0.03956,"japon","extreme","high"
"7",0.04171,"japon","low","low"
"8",0.04172,"japon","extreme","high"
"9",0.04181,"japon","low","low"
"10",0.04247,"bohem","gradual","high"
"11",0.04268,"japon","low","low"
"12",0.04328,"bohem","low","low"
"13",0.04346,"bohem","low","low"
"14",0.04461,"bohem","low","low"
"15",0.04465,"bohem","low","low"
"16",0.04523,"japon","extreme","high"
"17",0.04534,"bohem","high","high"
"18",0.04589,"japon","low","low"
"19",0.04592,"bohem","low","low"
"20",0.04618,"bohem","gradual","high"
"21",0.04663,"japon","gradual","high"
"22",0.0475,"japon","gradual","high"
"23",0.04788,"bohem","fluctuations","high"
"24",0.04813,"bohem","extreme","high"
"25",0.04819,"bohem","extreme","high"
"26",0.04827,"japon","low","low"
"27",0.04898,"bohem","low","low"
"28",0.04899,"bohem","gradual","high"
"29",0.04912,"japon","fluctuations","high"
"30",0.04913,"bohem","extreme","high"
"31",0.04955,"bohem","high","high"
"32",0.04975,"japon","gradual","high"
"33",0.04978,"japon","fluctuations","high"
"34",0.05022,"japon","low","low"
"35",0.05028,"japon","extreme","high"
"36",0.05031,"bohem","fluctuations","high"
"37",0.05051,"bohem","fluctuations","high"
"38",0.05073,"japon","fluctuations","high"
"39",0.05142,"bohem","fluctuations","high"
"40",0.05201,"bohem","gradual","high"
"41",0.05227,"bohem","low","low"
"42",0.05246,"bohem","extreme","high"
"43",0.05266,"japon","high","high"
"44",0.05353,"japon","low","low"
"45",0.05356,"japon","high","high"
"46",0.05371,"japon","gradual","high"
"47",0.05406,"bohem","high","high"
"48",0.05409,"japon","high","high"
"49",0.05436,"bohem","gradual","high"
"50",0.05483,"bohem","fluctuations","high"
"51",0.05496,"japon","gradual","high"
"52",0.05504,"japon","extreme","high"
"53",0.05527,"japon","high","high"
"54",0.05535,"japon","extreme","high"
"55",0.05536,"bohem","low","low"
"56",0.05542,"japon","low","low"
"57",0.05578,"bohem","gradual","high"
"58",0.05611,"japon","fluctuations","high"
"59",0.05612,"bohem","fluctuations","high"
"60",0.05634,"bohem","gradual","high"
"61",0.0564,"bohem","extreme","high"
"62",0.0567,"bohem","high","high"
"63",0.05718,"bohem","gradual","high"
"64",0.0572,"japon","extreme","high"
"65",0.05721,"japon","high","high"
"66",0.0575,"bohem","high","high"
"67",0.05766,"japon","low","low"
"68",0.0578,"japon","extreme","high"
"69",0.05813,"bohem","fluctuations","high"
"70",0.05842,"japon","extreme","high"
"71",0.05845,"japon","gradual","high"
"72",0.05857,"japon","high","high"
"73",0.05878,"japon","extreme","high"
"74",0.05897,"bohem","low","low"
"75",0.05902,"japon","low","low"
"76",0.05913,"bohem","low","low"
"77",0.05969,"bohem","low","low"
"78",0.05988,"japon","high","high"
